 ,Area,Mean,Min,Max,Angle,Length
1,0.235,76.372,60.958,140.667,2.556,2.294
2,0.233,74.630,59.216,132.333,-15.124,2.353
3,0.234,74.884,59.490,129.667,-12.638,2.338
4,0.233,76.009,60.604,140.667,2.579,2.273
5,0.234,75.032,59.396,130.667,-5.125,2.290
6,0.235,75.598,60.689,124.256,-0.427,2.286
7,0.232,75.578,61.333,124.333,-7.730,2.282
8,0.023,75.397,59.865,140.667,0.774,2.271
9,0.023,76.422,61.090,139.667,0.516,2.271
10,0.023,76.228,60.152,124.333,0.778,2.261
11,0.024,76.507,59.333,139.667,1.023,2.292
12,0.023,75.539,59.888,140.667,0.771,2.281
13,0.023,75.950,60.864,124.333,0.129,2.266
14,0.024,76.661,61.581,120.400,-0.128,2.286
15,0.023,76.192,59.553,138.667,-0.771,2.281
16,0.024,75.137,58.466,125.241,0.769,2.287
17,0.024,75.235,59.312,125.237,0.256,2.286
18,0.023,75.504,59.672,121.874,1.030,2.277
19,0.023,76.927,62.355,121.861,1.038,2.258
20,0.024,76.372,60.958,140.667,0.256,2.292
21,0.023,75.624,58.333,126.333,1.032,2.271
22,0.023,75.094,59.305,125.324,0.257,2.281
23,0.023,77.390,62.063,124.333,1.548,2.272
24,0.023,75.592,58.180,125.333,-0.516,2.271
