 ,Area,Mean,Min,Max,Angle,Length
1,0.023,78.460,61.842,122.290,-0.517,2.266
2,0.023,77.897,60.667,123.333,0.000,2.271
3,0.023,77.892,61.667,131.639,-0.986,2.278
4,0.023,78.278,61.407,142.667,-0.257,2.281
5,0.023,76.003,61.333,121.892,-0.686,2.278
6,0.024,55.152,16.192,140.667,-0.214,2.286
7,0.023,17.474,0.000,49.552,-0.193,2.276
8,0.023,41.080,0.000,138.667,-0.516,2.271
9,0.023,38.219,7.860E-11,82.958,-0.258,2.271
10,0.023,24.536,0.000,62.113,-0.130,2.263
11,0.023,53.511,5.503,114.500,-0.644,2.276
12,0.023,74.159,47.317,124.446,-0.386,2.276
13,0.024,74.301,47.439,140.667,-0.385,2.286
14,0.023,75.676,59.703,125.289,-0.386,2.276
15,0.023,75.799,61.108,120.360,-0.771,2.281
16,0.023,75.748,59.736,125.289,-0.322,2.276
17,0.023,74.786,51.372,140.667,-0.257,2.281
